"ActivityType","StartTime","EndTime","AltitudeAvg","AltitudeMin","AltitudeMax","Ascent","Descent","Distance","Duration","HrAvg","HrMin","Calories","SpeedAvg"
"Biking",2020-05-22 16:02:26,2020-05-22 18:15:02,101.078634477915,72.4000015258789,136.199996948242,280.399993896484,280.399993896484,45942.74,7956,109.846566935175,75,761,20.7885701357466
"Other",2020-05-25 15:58:03,2020-05-25 17:51:27,115.228877544893,95,140,672.399803161621,680.399803161621,30138.35,6804,151.691122523844,92,1278,15.9462169312169
"Biking",2020-05-27 14:53:05,2020-05-27 15:15:10,125.135791621343,106.400001525879,135.399993896484,44.5999755859375,46.3999786376953,8275.91,1325,113.27114967462,85,180,22.4854913207547
"Biking",2020-05-27 20:08:04,2020-05-27 20:23:08,124.301197691592,117.800003051758,136.199996948242,33,39,6426.94,904,109.22754491018,76,109,25.5940088495575
"Other",2020-05-28 14:52:45,2020-05-28 15:58:34,144.943348596599,130.600006103516,159,430.60009765625,428.000091552734,16747.02,3949,149.208649468892,86,777,15.2669718916181
"Running",2020-05-29 12:40:59,2020-05-29 13:09:21,128.556902439105,124,131.600006103516,13.7999954223633,8.79998779296875,2426.64,1702,100.457912457912,79,156,5.1327285546416
"Running",2020-05-29 13:28:20,2020-05-29 13:39:50,131.511810783326,126.800003051758,135.199996948242,6,9.39999389648438,1413.97,690,109.826771653543,88,86,7.3772347826087
"Biking",2020-05-29 19:06:22,2020-05-29 19:51:38,122.11492637466,106.400001525879,139.199996948242,247.999839782715,250.399833679199,17045.9,2716,137.7,88,461,22.5939764359352
"Other",2020-05-30 12:10:27,2020-05-30 14:08:16,173.729510677699,170,180.600006103516,21.8000030517578,21.2000122070312,9932.05,7069,93.138379204893,61,653,5.05805347290989
"Other",2020-05-30 15:37:05,2020-05-30 16:36:34,122.99235951713,109.599998474121,137.600006103516,423.799880981445,421.599884033203,9055.13,3569,164.901717825965,103,841,9.133782011768
"Biking",2020-05-31 11:01:32,2020-05-31 15:11:30,102.980084590576,79.5999984741211,147.399993896484,1796.39994812012,1772.7999420166,92817.22,14998,149.894148138044,90,2476,22.2791033471129
"Running",2020-06-01 16:32:44,2020-06-01 18:09:18,138.736296676912,132.399993896484,157.800003051758,297.599990844727,298.999984741211,11027.16,5794,127.039793281654,67,738,6.85153192958233
"Other",2020-06-02 16:42:16,2020-06-02 17:59:19,133.835421191024,121.599998474121,147,357.19970703125,354.799713134766,20057.49,4623,145.901341410645,79,845,15.6190707332901
"Biking",2020-06-03 14:51:26,2020-06-03 16:01:57,98.7114374081171,72.1999969482422,135.199996948242,131.600006103516,136.400009155273,21539.48,4231,113.275775356245,69,491,18.32713968329
"Biking",2020-06-03 16:35:47,2020-06-03 17:17:21,108.176896049651,77,135.199996948242,107.799995422363,98.7999954223633,15084.46,2494,112.133578431373,71,286,21.7738797113071
"Running",2020-06-05 16:30:32,2020-06-05 18:00:16,128.342068073394,119.199996948242,156.399993896484,282.199844360352,285.199844360352,11915.08,5384,136.524462564863,79,821,7.96699257057949
"Biking",2020-06-08 16:09:38,2020-06-08 17:23:53,103.752173920909,77.4000015258789,131.600006103516,439.600006103516,444.000007629395,31410.47,4455,145.556252801434,81,782,25.382197979798
"Other",2020-06-09 14:20:13,2020-06-09 15:58:43,114.916094076454,93.1999969482422,136.399993896484,648.19970703125,645.19970703125,28496.94,5910,162.925186188219,89,1333,17.3585421319797
"Biking",2020-06-10 17:00:02,2020-06-10 18:46:09,100.959509315457,72.1999969482422,135.199996948242,257.000030517578,257.000030517578,41531.51,6367,111.713640469738,74,665,23.4825563059526
